Voltaje Hall (mV),Corriente (mA),Voltaje Hall (mV),Corriente (mA),Voltaje Hall (mV),Corriente (mA),Voltaje Hall (mV),Corriente (mA),Voltaje Hall (mV),Corriente (mA)
29,-30,8.8,-30,15.8,-30,23.7,-30,37.2,-30
27.5,-27,7.9,-27,14,-27,21.3,-27,33.7,-27
24.4,-24,6.9,-24,12.4,-24,19.1,-24,29.8,-24
21.7,-21,6.2,-21,11.2,-21,16.6,-21,27,-21
19.1,-18,5.3,-18,9.5,-18,14.4,-18,23.1,-18
15.8,-15,4.6,-15,8.2,-15,12.2,-15,19.4,-15
13.4,-12,3.7,-12,6.5,-12,10.1,-12,16.2,-12
10.2,-9,2.6,-9,5.1,-9,7.6,-9,13.1,-9
7.7,-6,1.8,-6,3.3,-6,5.5,-6,9.3,-6
4.3,-3,0.8,-3,1.9,-3,3,-3,5.3,-3
0,0,0,0,0.5,0,0.4,0,0.5,0
-2.9,3,-1.1,3,-1.7,3,-2.3,3,-3.7,3
-5.6,6,-2,6,-3.3,6,-4.1,6,-6.5,6
-8.3,9,-2.8,9,-4.8,9,-6.9,9,-10.3,9
-11.7,12,-3.7,12,-6.3,12,-9,12,-14,12
-13.9,15,-4.6,15,-7.5,15,-11.1,15,-17.6,15
-17.2,18,-5.3,18,-9.3,18,-13.3,18,-21.5,18
-20.2,21,-6.5,21,-10.6,21,-15.9,21,-24.5,21
-23.2,24,-7.3,24,-12.1,24,-17.7,24,-27.9,24
-26,27,-8.1,27,-13.7,27,-19.9,27,-32.6,27
-28.8,30,-9.2,30,-15.6,30,-22.2,30,-35.5,30
