serie 1  -36(mA),,,serie 2  -25(mA),,,serie 3  -5(mA),,,serie 4  12(mA),,,serie 5  27(mA),,
Voltaje Hall (mV),Campo (mT),Corriente (mA),Voltaje Hall (mV),Campo (mT),Corriente (mA),Voltaje Hall (mV),Campo (mT),Corriente (mA),Voltaje Hall (mV),Campo (mT),Corriente (mA),Voltaje Hall (mV),Campo (mT),Corriente (mA)
-49.7,-261.6324,-1.16,-35.4,-261.6324,-1.16,-9.3,-261.6324,-1.16,14.5,-261.6324,-1.16,33.8,-261.6324,-1.16
-45.6,-234.654,-1.04,-32.8,-234.654,-1.04,-8.7,-234.654,-1.04,13.4,-234.654,-1.04,30.9,-234.654,-1.04
-41.8,-207.6756,-0.92,-29.9,-207.6756,-0.92,-8,-207.6756,-0.92,12.1,-207.6756,-0.92,28.3,-207.6756,-0.92
-37.3,-180.6972,-0.8,-26.6,-180.6972,-0.8,-7.2,-180.6972,-0.8,10.7,-180.6972,-0.8,25.3,-180.6972,-0.8
-30.5,-153.7188,-0.68,-23.2,-153.7188,-0.68,-6.3,-153.7188,-0.68,9.3,-153.7188,-0.68,21.8,-153.7188,-0.68
-27.6,-126.7404,-0.56,-19.5,-126.7404,-0.56,-5.4,-126.7404,-0.56,7.8,-126.7404,-0.56,18.4,-126.7404,-0.56
-22.3,-99.762,-0.44,-16.2,-99.762,-0.44,-4.5,-99.762,-0.44,6.2,-99.762,-0.44,14.9,-99.762,-0.44
-16.8,-72.7836,-0.32,-12.3,-72.7836,-0.32,-3.5,-72.7836,-0.32,4.6,-72.7836,-0.32,11.2,-72.7836,-0.32
-11.7,-45.8052,-0.2,-8.4,-45.8052,-0.2,-2.5,-45.8052,-0.2,3,-45.8052,-0.2,7.3,-45.8052,-0.2
-6.3,-18.8268,-0.08,-4.5,-18.8268,-0.08,-1.4,-18.8268,-0.08,1.3,-18.8268,-0.08,3.8,-18.8268,-0.08
0.2,8.1516,0.04,0,8.1516,0.04,-0.3,8.1516,0.04,-0.5,8.1516,0.04,-0.7,8.1516,0.04
5.3,35.13,0.16,3.6,35.13,0.16,0.6,35.13,0.16,-2,35.13,0.16,-4.1,35.13,0.16
10.3,62.1084,0.28,7.2,62.1084,0.28,1.5,62.1084,0.28,-3.6,62.1084,0.28,-7.8,62.1084,0.28
15.5,89.0868,0.4,11.2,89.0868,0.4,2.6,89.0868,0.4,-5.4,89.0868,0.4,-11.7,89.0868,0.4
20.9,116.0652,0.52,15,116.0652,0.52,3.5,116.0652,0.52,-7,116.0652,0.52,-15.5,116.0652,0.52
26.4,143.0436,0.64,18.6,143.0436,0.64,4.5,143.0436,0.64,-8.6,143.0436,0.64,-18.9,143.0436,0.64
30.9,170.022,0.76,22,170.022,0.76,5.5,170.022,0.76,-10,170.022,0.76,-22.6,170.022,0.76
35.5,197.0004,0.88,25,197.0004,0.88,6.3,197.0004,0.88,-11.5,197.0004,0.88,-25.9,197.0004,0.88
40.2,223.9788,1,29,223.9788,1,7.2,223.9788,1,-13,223.9788,1,-29,223.9788,1
44.8,250.9572,1.12,32.2,250.9572,1.12,8.1,250.9572,1.12,-14.3,250.9572,1.12,-32.2,250.9572,1.12
46.1,259.95,1.16,32.9,259.95,1.16,8.3,259.95,1.16,-14.7,259.95,1.16,-33.1,259.95,1.16
