Datos de temperatura para n-Ge,,,,Datos de temperatura para p-Ge,,,,Datos de temperatura para Ge puro,,,
Campo en 0,Ip=30mA,,,Campo en 0mT,Ip=30mA,,,Campo en 300mT,Ip=5mA,,
Temp (°C),Vlong (V),1/T,Conductividad,Temp (°C),Vlong (V),1/T,Conductividad,Temp (°C),Vlong (V),1/T,Conductividad
20,1.049,0.05,285.986654,20,1,0.05,300,20,4.71,0.05,10.61571125
24,1.063,0.041666667,282.2201317,24,1.01,0.041666667,297.029703,24,4.52,0.041666667,11.0619469
28,1.081,0.035714286,277.5208141,28,1.011,0.035714286,296.735905,28,4.02,0.035714286,12.43781095
32,1.098,0.03125,273.2240437,32,1.033,0.03125,290.4162633,32,3.49,0.03125,14.32664756
36,1.118,0.027777778,268.3363148,36,1.057,0.027777778,283.8221381,36,3.06,0.027777778,16.33986928
40,1.139,0.025,263.3889377,40,1.085,0.025,276.4976959,40,2.66,0.025,18.79699248
44,1.159,0.022727273,258.8438309,44,1.115,0.022727273,269.058296,44,2.29,0.022727273,21.83406114
48,1.178,0.020833333,254.6689304,48,1.176,0.020833333,255.1020408,48,1.89,0.020833333,26.45502646
52,1.192,0.019230769,251.6778523,52,1.207,0.019230769,248.5501243,52,1.62,0.019230769,30.86419753
56,1.211,0.017857143,247.7291495,56,1.237,0.017857143,242.5222312,56,1.4,0.017857143,35.71428571
60,1.22,0.016666667,245.9016393,60,1.266,0.016666667,236.9668246,60,1.16,0.016666667,43.10344828
64,1.227,0.015625,244.4987775,64,1.292,0.015625,232.1981424,64,1.01,0.015625,49.5049505
68,1.229,0.014705882,244.100895,68,1.315,0.014705882,228.1368821,68,0.87,0.014705882,57.47126437
72,1.224,0.013888889,245.0980392,72,1.333,0.013888889,225.0562641,72,0.74,0.013888889,67.56756757
76,1.209,0.013157895,248.1389578,76,1.346,0.013157895,222.8826152,76,0.65,0.013157895,76.92307692
80,1.189,0.0125,252.312868,80,1.353,0.0125,221.72949,80,0.56,0.0125,89.28571429
84,1.153,0.011904762,260.1908066,84,1.349,0.011904762,222.3869533,84,0.48,0.011904762,104.1666667
88,1.108,0.011363636,270.7581227,88,1.332,0.011363636,225.2252252,88,0.42,0.011363636,119.047619
92,1.05,0.010869565,285.7142857,92,1.302,0.010869565,230.4147465,92,0.36,0.010869565,138.8888889
96,1.01,0.010416667,297.029703,96,1.205,0.010416667,248.9626556,96,0.32,0.010416667,156.25
100,0.939,0.01,319.4888179,100,1.204,0.01,249.1694352,100,0.27,0.01,185.1851852
104,0.87,0.009615385,344.8275862,104,1.13,0.009615385,265.4867257,104,0.23,0.009615385,217.3913043
108,0.81,0.009259259,370.3703704,108,1.064,0.009259259,281.9548872,108,0.21,0.009259259,238.0952381
112,0.744,0.008928571,403.2258065,112,0.965,0.008928571,310.880829,112,0.18,0.008928571,277.7777778
116,0.693,0.00862069,432.9004329,116,0.884,0.00862069,339.3665158,116,0.16,0.00862069,312.5
120,0.629,0.008333333,476.9475358,120,0.808,0.008333333,371.2871287,120,0.14,0.008333333,357.1428571
