Desplazamiento;Error des;Voltaje ;Error voltaje;;masa 1;equlibrio 1;Error 1;;masa 2;equlibrio 2;Error 2;;Numero de masas;periodo (s);error periodos;;Corriente 1;desplazamiento 1 ;error corriente 1;error des 1;;Corriente 2;desplazamiento 2 ;error corriente 2;error des 2;;Valle No;tiempo No;;picos;tiempo (s);;Valle si;tiempo si;;picos si;tiempo si;;valles si;amplitudes si;;pico si;amplitudes si;;Frecuencia (mHz) 1;error F1;Amplitud mV 1;error A1;;Frecuencia (mHz) 2;error F2;Amplitud mV 2;error A2;;tiempo (s) 1;error t1;amplitudes (V) 11;error a1;;tiempo (s) 2;error t2;amplitudes (V) 22;error a2;;tiempo (s) 3;error t3;amplitudes (V) 3;error a3
3,1;0,01;6,4;0,1;;50;3,2;0,01;;50;2,78;0,01;;0;1,1;0,01;;0,25;3,18;0,01;0,01;;0,25;2,84;0,01;0,01;;1;-1,88;;1;-1,3;;1;-0,82;;1;-1,36;;1;-4,8;;1;8,8;;500;0,01;88;0,1;;500;0,01;88;0,1;;-1,88;0,01;-8;0,1;;-1,36;0,01;8,8;0,1;;-0,06;0,01;8,8;0,1
3,2;0,01;8,8;0,1;;100;3,38;0,01;;100;2,56;0,01;;1;1,22;0,01;;0,5;3,32;0,01;0,01;;0,5;2,68;0,01;0,01;;2;-0,7;;2;-0,12;;2;0,36;;2;-0,22;;2;-2,4;;2;4,8;;600;0,01;96;0,1;;600;0,01;88;0,1;;-1,3;0,01;8,8;0,1;;-0,82;0,01;-4,8;0,1;;0,84;0,01;0,4;0,1
3,3;0,01;12;0,1;;150;3,52;0,01;;150;2,4;0,01;;2;1,3;0,01;;0,75;3,46;0,01;0,01;;0,75;2,54;0,01;0,01;;3;0,48;;3;1,04;;3;1,54;;3;0,94;;3;-0,4;;3;2,4;;700;0,01;144;0,1;;700;0,01;112;0,1;;-0,7;0,01;-8;0,1;;-0,22;0,01;4,8;0,1;;;;;
3,4;0,01;16,4;0,1;;200;3,66;0,01;;200;2,24;0,01;;3;1,38;0,01;;1;3,56;0,01;0,01;;1;2,42;0,01;0,01;;4;1,62; ;;;;;;;;;;;;;4;2,1;;750;0,01;208;0,1;;800;0,01;132;0,1;;-0,12;0,01;8,8;0,1;;0,36;0,01;-2,4;0,1;;;;;
3,5;0,01;20,8;0,1;;250;3,78;0,01;;250;2,1;0,01;;4;1,42;0,01;;1,25;3,66;0,01;0,01;;1,25;2,32;0,01;0,01;;;;;;;;;;;;;;;;;;;;775;0,01;240;0,1;;820;0,01;152;0,1;;0,48;0,01;-8;0,1;;0,94;0,01;2,4;0,1;;;;;
3,6;0,01;24;0,1;;300;3,86;0,01;;300;2;0,01;;5;1,5;0,01;;1,5;3,74;0,01;0,01;;1,5;2,26;0,01;0,01;;;;;;;;;;;;;;;;;;;;790;0,01;288;0,1;;825;0,01;156;0,1;;1,04;0,01;8,8;0,1;;1,54;0,01;-0,4;0,1;;;;;
3,7;0,01;28,4;0,1;;350;3,94;0,01;;;;;;6;1,58;0,01;;1,75;3,82;0,01;0,01;;1,75;2,18;0,01;0,01;;;;;;;;;;;;;;;;;;;;800;0,01;328;0,1;;830;0,01;157;0,1;;1,62;0,01;-8;0,1;;;0,01;;0,1;;;;;
3,8;0,01;31,6;0,1;;;;;;;;;;7;1,62;0,01;;2;3,88;0,01;0,01;;2;2,12;0,01;0,01;;;;;;;;;;;;;;;;;;;;810;0,01;384;0,1;;835;0,01;164;0,1;;;;;;;;;;;;;;;
3,9;0,01;34,4;0,1;;;;;;;;;;8;1,68;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;815;0,01;416;0,1;;840;0,01;160;0,1;;;;;;;;;;;;;;;
4;0,01;40;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;820;0,01;448;0,1;;842;0,01;160;0,1;;;;;;;;;;;;;;;
