Desplazamiento;Error des;Voltaje ;Error voltaje;;masa 1;equlibrio 1;Error 1;;masa 2;equlibrio 2;Error 2;;Numero de masas;periodo (s);error periodos;;Corriente 1;desplazamiento 1 ;error corriente 1;error des 1;;Corriente 2;desplazamiento 2 ;error corriente 2;error des 2;;Valle No;tiempo No;;picos;tiempo (s);;Valle si;tiempo si;;picos si;tiempo si;;valles si;amplitudes si;;pico si;amplitudes si
3,1;0,01;6,4;0,1;;50;3,2;0,01;;50;2,78;0,01;;0;1,1;0,01;;0,25;3,18;0,01;0,01;;0,25;2,84;0,01;0,01;;1;-1,88;;1;-1,3;;1;-0,82;;1;-1,36;;1;-4,8;;1;8,8
3,2;0,01;8,8;0,1;;100;3,38;0,01;;100;2,56;0,01;;1;1,22;0,01;;0,5;3,32;0,01;0,01;;0,5;2,68;0,01;0,01;;2;-0,7;;2;-0,12;;2;0,36;;2;-0,22;;2;-2,4;;2;4,8
3,3;0,01;12;0,1;;150;3,52;0,01;;150;2,4;0,01;;2;1,3;0,01;;0,75;3,46;0,01;0,01;;0,75;2,54;0,01;0,01;;3;0,48;;3;1,04;;3;1,54;;3;0,94;;3;-0,4;;3;2,4
3,4;0,01;16,4;0,1;;200;3,66;0,01;;200;2,24;0,01;;3;1,38;0,01;;1;3,56;0,01;0,01;;1;2,42;0,01;0,01;;4;1,62; ;;;;;;;;;;;;;4;2,1
3,5;0,01;20,8;0,1;;250;3,78;0,01;;250;2,1;0,01;;4;1,42;0,01;;1,25;3,66;0,01;0,01;;1,25;2,32;0,01;0,01;;;;;;;;;;;;;;;;;;
3,6;0,01;24;0,1;;300;3,86;0,01;;300;2;0,01;;5;1,5;0,01;;1,5;3,74;0,01;0,01;;1,5;2,26;0,01;0,01;;;;;;;;;;;;;;;;;;
3,7;0,01;28,4;0,1;;350;3,94;0,01;;;;;;6;1,58;0,01;;1,75;3,82;0,01;0,01;;1,75;2,18;0,01;0,01;;;;;;;;;;;;;;;;;;
3,8;0,01;31,6;0,1;;;;;;;;;;7;1,62;0,01;;2;3,88;0,01;0,01;;2;2,12;0,01;0,01;;;;;;;;;;;;;;;;;;
3,9;0,01;34,4;0,1;;;;;;;;;;8;1,68;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0,01;40;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
